Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H1_remelt,159.2,1200,73.7,0.06,0.03,0.66,191706,1666.095723,61.78651002,1.33E+11,67.08131007,17.3874857,14490825.48,-92670484.53,302.324659,0.021171704,-0.200200037,72.21296498,17.83372338,30486246.95,-196528802.9,318.0416897,-0.027153746,-0.249769174,2962.252444,0.001137122
H1_remelt,159.2,1200,73.7,0.06,0.03,0.69,190080,1665.724213,60.94870644,1.32E+11,75.39542128,17.49086465,14539366.05,-93063168.37,305.9303461,0.027607046,-0.217310661,66.7417448,17.85221469,30290395.68,-195287460.4,318.7015692,-0.021637448,-0.258117365,2945.390938,0.001094242
H1_remelt,159.2,1200,73.7,0.06,0.03,0.72,196666,1670.655019,61.39216461,1.37E+11,66.25615952,17.45488511,14981228,-95885734.78,304.6730141,0.024661503,-0.19672122,70.7512578,17.85851835,31362160.99,-202186968.2,318.9266776,-0.026065572,-0.26240248,2965.38354,0.001077937
H1_remelt,159.2,1200,73.7,0.06,0.03,0.75,188324,1671.419168,60.60329525,1.32E+11,75.32502991,17.4023194,14259626.14,-91237931.51,302.8407204,0.034810516,-0.171826965,76.7927462,17.85275951,30012413.48,-193405318.8,318.7210222,-0.02427615,-0.266331372,2975.11399,0.001093825
H1_remelt,159.2,1200,73.7,0.06,0.03,0.78,196256,1666.961895,59.92053688,1.37E+11,78.56429,17.41350992,14879353.12,-95223647.94,303.2303279,0.033524693,-0.17371896,74.25732476,17.91439565,31492784.57,-203389263.9,320.9255714,-0.020369821,-0.244918249,2944.165573,0.001202474
H1_remelt,159.2,1200,73.7,0.06,0.03,0.81,193536,1667.725915,58.36429972,1.35E+11,69.23349759,17.4299068,14700721.88,-94110192.26,303.8016509,0.030813514,-0.182757907,73.19187493,17.89623623,30993363.56,-200061883.6,320.2752711,-0.022250335,-0.249944425,2948.951206,0.001074702
H1_remelt,159.2,1200,73.7,0.06,0.03,0.84,196678,1666.09779,61.54182509,1.37E+11,76.41006856,17.39055039,14871759.78,-95129376.59,302.4312428,0.024795096,-0.188625365,70.51489178,17.94136627,31655570.97,-204427792.6,321.8926237,-0.025793448,-0.258509947,2937.788461,0.00108804
H1_remelt,159.2,1200,73.7,0.06,0.03,0.87,194466,1671.750483,62.76283135,1.36E+11,69.43111694,17.39957911,14719784.13,-94160290.28,302.7453534,0.036290159,-0.194927895,76.22206906,17.96414104,31379086.18,-202797640.2,322.7103633,-0.020399401,-0.241685845,2951.808792,0.001090131
H1_remelt,159.2,1200,73.7,0.06,0.03,0.9,196370,1669.202133,61.59212482,1.37E+11,68.33686176,17.44154886,14935693.46,-95555808.02,304.2076268,0.015544608,-0.219388598,79.80875905,17.87625253,31377022.35,-202479976.1,319.5604046,-0.015967056,-0.246589045,2957.76373,0.001171223
H1_remelt,159.2,1200,73.7,0.06,0.03,0.93,195705,1667.528632,60.60073786,1.36E+11,69.05028979,17.40492115,14822798.84,-94813047.54,302.9312804,0.039111803,-0.186549821,75.10893521,17.99151846,31675485.07,-204794111.6,323.6947366,-0.030402474,-0.256446877,2929.995592,0.001032129
H1_remelt,159.2,1200,73.7,0.06,0.03,0.96,187580,1667.647753,58.0472498,1.31E+11,73.63354155,17.49812809,14360219.79,-92060449.38,306.1844868,0.021638307,-0.164073165,69.12205162,17.98014478,30322043.84,-196080641.5,323.2856064,-0.031365513,-0.24519578,2922.618899,0.001087501
H1_remelt,159.2,1200,73.7,0.06,0.03,0.99,196608,1667.727637,61.47615456,1.37E+11,70.50284078,17.48085425,15021409.78,-96368099.03,305.5802654,0.017984714,-0.147021555,68.28568098,17.98892838,31812297.93,-205537104,323.6015442,-0.026260083,-0.268660623,2923.255732,0.001169805
H1_remelt,159.2,1200,73.7,0.06,0.03,1.02,192064,1673.394426,62.00655676,1.35E+11,73.05575475,17.40053299,14539759.21,-92971460.75,302.7785483,0.023495843,-0.190987635,69.30066777,18.00721052,31140369.31,-201455860.7,324.2596307,-0.025832656,-0.251952648,2947.78909,0.00097881
H1_remelt,159.2,1200,73.7,0.06,0.03,1.05,199604,1668.486864,60.83900153,1.39E+11,73.31253449,17.53714831,15348893.97,-98479214.51,307.5515707,0.019785549,-0.168486197,68.95085587,17.99640667,32323976.06,-208902790.2,323.8706529,-0.03088372,-0.271246218,2918.126394,0.000971895
H1_remelt,159.2,1200,73.7,0.06,0.03,1.08,195359,1667.257438,60.37969223,1.36E+11,75.26573964,17.45481984,14882174.12,-95199990.82,304.6707357,0.041076262,-0.21426483,72.51750084,18.0141469,31699069.73,-205044130.6,324.5094887,-0.024971169,-0.258524856,2918.66046,0.001085143
H1_remelt,159.2,1200,73.7,0.06,0.03,1.11,186671,1667.96678,58.91462725,1.30E+11,76.206425,17.47819446,14258129.38,-91321020.38,305.4872816,0.025390142,-0.177175042,83.06687653,18.03954622,30374885.31,-196712260.3,325.4252278,-0.016275524,-0.227350928,2912.901318,0.001189214
H1_remelt,159.2,1200,73.7,0.06,0.03,1.14,196498,1669.393935,62.08499021,1.37E+11,75.7340869,17.50872682,15060777.63,-96630269.95,306.5555149,0.032347415,-0.15236743,72.13336081,18.01646595,31892036.87,-206246820.8,324.5930452,-0.031147814,-0.261264624,2920.076418,0.000905834
H1_remelt,159.2,1200,73.7,0.06,0.03,1.17,196454,1671.679629,62.24128435,1.37E+11,76.04246695,17.43105882,14924153.74,-95660722.34,303.8418115,0.017120441,-0.143840533,82.27007599,18.06327818,32050737.61,-207573858.1,326.2820187,-0.029105171,-0.239065961,2926.055961,0.001262343
H1_remelt,159.2,1200,73.7,0.06,0.03,1.2,198656,1668.343619,59.55474733,1.38E+11,72.24896686,17.43890776,15105118.87,-96715276.25,304.1155038,0.016909815,-0.165470521,69.66425577,18.07374392,32447486.85,-210164277.4,326.6602192,-0.035950812,-0.238936733,2910.95279,0.001147678
H1_remelt,159.2,1200,73.7,0.06,0.03,1.23,194486,1669.077288,60.8574409,1.36E+11,68.44333341,17.54137245,14962298.64,-96029062.21,307.6997474,0.023528323,-0.182481547,75.01087112,18.08410189,31802874.23,-206040758.2,327.0347412,-0.029789799,-0.246013615,2900.520165,0.001233984
H1_remelt,159.2,1200,73.7,0.06,0.03,1.26,186829,1668.535016,59.42380439,1.30E+11,68.25486989,17.4748936,14264533.34,-91327408.92,305.3719064,0.041883855,-0.195696005,68.01887232,18.07531466,30521257.5,-197667501.4,326.7170001,-0.026737805,-0.248224702,2907.430672,0.001156094
H1_remelt,159.2,1200,73.7,0.06,0.03,1.29,196099,1671.916395,61.64327965,1.37E+11,77.4221736,17.55299202,15106512.62,-96871324.65,308.1075287,0.051551794,-0.200034308,77.03533147,18.05704485,31970951.28,-207040957.8,326.0568687,-0.032689431,-0.243674949,2915.197077,0.001030055
H1_remelt,159.2,1200,73.7,0.06,0.03,1.32,198815,1669.951193,62.65549367,1.39E+11,78.42550446,17.57949563,15362038.91,-98615765.47,309.0386664,0.032405347,-0.165893562,71.28532503,18.07382846,32473931.16,-210215745.4,326.6632752,-0.028779207,-0.259512208,2902.010138,0.001056221
H1_remelt,159.2,1200,73.7,0.06,0.03,1.35,192000,1671.010633,58.96762495,1.34E+11,70.15522668,17.5533312,14791291.65,-94890445.09,308.1194362,0.052155685,-0.1921473,67.57493464,18.03448627,31224277.12,-201918945.7,325.2426952,-0.026017296,-0.275434212,2916.624976,0.000864556
H1_remelt,159.2,1200,73.7,0.06,0.03,1.38,193024,1668.595324,59.14501117,1.35E+11,71.61558383,17.49345931,14768918.6,-94675435.07,306.0211187,0.032149557,-0.181784571,71.47078601,18.08534529,31568132.43,-204435937.4,327.0797142,-0.027780422,-0.264770429,2903.456225,0.000932498
H1_remelt,159.2,1200,73.7,0.06,0.03,1.41,188062,1667.643796,59.1351975,1.31E+11,73.23592653,17.48926688,14382445.7,-92096510.86,305.8744561,0.033165512,-0.207869096,67.83776683,18.06805095,30697849.12,-198702438.9,326.454465,-0.019763359,-0.256809034,2904.345078,0.001159155
H1_remelt,159.2,1200,73.7,0.06,0.03,1.44,195562,1672.416785,63.63557973,1.37E+11,69.4020568,17.53165286,15028356.37,-96320458.14,307.3588521,0.039013397,-0.20362992,72.44591108,18.03335134,31799538.08,-205803207.7,325.2017604,-0.026067529,-0.248048929,2924.672055,0.001053342
H1_remelt,159.2,1200,73.7,0.06,0.03,1.47,188482,1673.963448,64.30949204,1.32E+11,70.68612409,17.50009454,14432378.99,-92439460.94,306.253309,0.036685112,-0.190461202,71.22699371,18.08761794,30833089.79,-199728772.3,327.1619227,-0.023523317,-0.248034694,2921.573299,0.001145962
H1_remelt,159.2,1200,73.7,0.06,0.03,1.5,196334,1668.188435,62.33986367,1.37E+11,70.77994714,17.62196589,15243479.02,-98002989.89,310.5336819,0.050411097,-0.158183257,75.483875,18.06539505,32038650.39,-207455384.8,326.3584985,-0.037481328,-0.25647259,2893.174261,0.000967709
H1_remelt,159.2,1200,73.7,0.06,0.03,1.53,194176,1668.129926,61.54241928,1.35E+11,75.02063345,17.54030244,14936738.98,-95776872.36,307.6622098,0.042804671,-0.192186782,73.56483777,18.07168735,31708561.79,-205301841.9,326.5858837,-0.026264933,-0.257799172,2900.16598,0.001050561
H1_remelt,159.2,1200,73.7,0.06,0.03,1.56,197120,1665.152286,62.20411828,1.37E+11,69.95934565,17.51057078,15111809.1,-96895675.82,306.6200892,0.054350553,-0.165670727,82.65328035,18.06078066,32150480.66,-208174437,326.1917981,-0.026841817,-0.250053276,2895.433232,0.001105892
H1_remelt,159.2,1200,73.7,0.06,0.03,1.59,194600,1672.957732,64.15688454,1.36E+11,80.4555301,17.52517086,14943507.56,-95808084.56,307.1316138,0.039943568,-0.184620853,73.41551629,18.06667007,31760212.41,-205658927.2,326.4045675,-0.034059915,-0.242759811,2920.008911,0.001212707
H1_remelt,159.2,1200,73.7,0.06,0.03,1.62,186368,1675.421146,62.97857761,1.31E+11,71.52758958,17.6068523,14445143.17,-92753573.01,310.001248,0.029146254,-0.193418895,65.52597914,18.12250004,30604956.44,-198240659.5,328.4250078,-0.027349427,-0.265117248,2907.524648,0.001126767
H1_remelt,159.2,1200,73.7,0.06,0.03,1.65,194946,1669.237753,62.00032745,1.36E+11,75.69502085,17.54085782,14996714.36,-96164885.54,307.6816929,0.04684728,-0.180627713,72.7621074,18.1715696,32187203.15,-208803620.6,330.2059416,-0.031878865,-0.248883823,2882.276055,0.000984858
H1_remelt,159.2,1200,73.7,0.06,0.03,1.68,190464,1670.430865,61.16840622,1.33E+11,63.76278232,17.46075394,14518606.57,-92969168.86,304.8779281,0.02721391,-0.205966137,76.06126421,18.111718,31240440.44,-202508651.8,328.0343288,-0.022942617,-0.238730334,2907.773057,0.001134037
H1_remelt,159.2,1200,73.7,0.06,0.03,1.71,189568,1667.034578,61.45059192,1.32E+11,70.64247386,17.49802317,14512072.34,-93038244.29,306.1808147,0.030548606,-0.169734195,70.24570753,18.12916617,31153330.04,-201802215.3,328.6666659,-0.037437904,-0.265850411,2888.301395,0.001234346
H1_remelt,159.2,1200,73.7,0.06,0.03,1.74,196558,1672.1609,66.23434222,1.38E+11,74.13252058,17.40330203,14884567,-95286042.67,302.8749215,0.024723174,-0.184074505,67.85429038,18.13412104,32319721.98,-209493951.5,328.846346,-0.027631028,-0.257937133,2915.587131,0.000997131
H1_remelt,159.2,1200,73.7,0.06,0.03,1.77,205824,1669.487671,63.3035873,1.44E+11,72.4994632,17.44219679,15656003.49,-100181873.8,304.2302288,0.04135729,-0.197959505,70.63214641,18.11703119,33779548.53,-218878113.9,328.226819,-0.032961121,-0.250644105,2905.55589,0.001195161
