Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H6_remelt,199,1680,65.81,0.06,0.03,0.18,156672,1652.192877,59.34555963,1.07E+11,69.52246795,17.27779743,11694026.34,-74628694.77,298.522284,0.026149168,-0.195957001,67.34317785,17.72550862,24613628.86,-158376297.5,314.1936558,-0.015803443,-0.258434868,2948.968162,0.001033968
H6_remelt,199,1680,65.81,0.06,0.03,0.21,158720,1651.715579,60.88631033,1.08E+11,66.52898694,17.47160113,12114121.99,-77559018.6,305.2568461,0.042872065,-0.184165773,71.44500791,17.75039685,25005576.8,-160810861.5,315.0765883,-0.011670499,-0.279412635,2920.668104,0.000970225
H6_remelt,199,1680,65.81,0.06,0.03,0.24,168469,1649.312205,61.26775677,1.15E+11,68.5509446,17.34800865,12676760.58,-81030248.76,300.953404,0.034249525,-0.183196639,70.79458092,17.78418445,26642692.56,-171600990.5,316.2772164,-0.014663539,-0.247871605,2918.140141,0.001246468
H6_remelt,199,1680,65.81,0.06,0.03,0.27,157558,1659.851631,64.90452384,1.09E+11,75.71175224,17.47307592,12027378.39,-77029555.72,305.3083822,0.027966976,-0.194321934,74.13882994,17.76469853,24862430.26,-160155906.1,315.584514,-0.005252593,-0.23799139,2946.63099,0.001231246
H6_remelt,199,1680,65.81,0.06,0.03,0.3,157095,1661.242768,67.90519927,1.09E+11,71.2615531,17.44290107,11950919.97,-76530108.87,304.2547976,0.019760563,-0.165272245,76.47804575,17.67654982,24544082.56,-157816012.1,312.4604136,-0.026069488,-0.241652811,2975.214422,0.001056638
H6_remelt,199,1680,65.81,0.06,0.03,0.33,155136,1660.246936,65.44171975,1.07E+11,70.11827752,17.5155531,11900834.39,-76330326.81,306.7946004,0.039224798,-0.162651086,67.80110294,17.75258256,24446828.92,-157354478.7,315.1541875,-0.033774414,-0.253598332,2946.128577,0.001057096
H6_remelt,199,1680,65.81,0.06,0.03,0.36,155277,1659.839557,65.13948885,1.07E+11,69.5552852,17.44866434,11820197.21,-75628087.12,304.4558874,0.037017602,-0.215100383,69.85206126,17.75475087,24475201.82,-157529037.4,315.2311786,-0.024492843,-0.250614695,2951.54411,0.001287963
H6_remelt,199,1680,65.81,0.06,0.03,0.39,152127,1657.368129,62.59686072,1.05E+11,67.37467373,17.35697638,11459348.44,-73391913.57,301.2646292,0.032993452,-0.120017022,73.97716248,17.77266874,24027125.65,-154862415.7,315.8677543,-0.024491438,-0.224790563,2948.49534,0.001301484
H6_remelt,199,1680,65.81,0.06,0.03,0.42,155648,1667.370489,68.31389785,1.08E+11,68.70021545,17.38334764,11760031.39,-75227075.24,302.1807751,0.041238696,-0.175591754,74.28018787,17.81902291,24711463.94,-159267314.3,317.5175775,-0.017279525,-0.25217034,2971.518324,0.001143562
H6_remelt,199,1680,65.81,0.06,0.03,0.45,159232,1665.512174,68.63961881,1.11E+11,69.42016445,17.55602799,12270941.43,-78694557.69,308.2141186,0.028136211,-0.182726921,70.82960651,17.75554008,25100648.46,-161581095.1,315.2592036,-0.014478618,-0.251251218,2960.165253,0.001180623
