Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H4_remelt,199,1200,92.13,0.06,0.03,0.18,197553,1677.019162,67.68742786,1.39E+11,77.82097706,17.36248125,14889838.4,-95196802.67,301.4557552,0.032732221,-0.181000743,70.86167346,17.73224525,31059645.17,-199949598.3,314.4325216,-0.00551369,-0.238848041,3028.082764,0.001224944
H4_remelt,199,1200,92.13,0.06,0.03,0.21,194418,1681.236145,67.65503116,1.38E+11,66.63998225,17.33000153,14598758.22,-93360244.21,300.328953,0.032829852,-0.161713244,69.13279615,17.71054631,30491880.56,-196163669.4,313.6634508,-0.016190936,-0.254878513,3052.041572,0.001069827
H4_remelt,199,1200,92.13,0.06,0.03,0.24,206640,1678.259161,72.17617101,1.46E+11,71.55959762,17.42499685,15687095.73,-100357466.6,303.6305154,0.03637891,-0.204566003,78.0278923,17.73421716,32495355.06,-209152666.4,314.5024584,-0.013636452,-0.238565074,3025.715668,0.001190442
H4_remelt,199,1200,92.13,0.06,0.03,0.27,194439,1693.640247,74.14751491,1.40E+11,67.57728724,17.29788784,14546432.87,-92873728.67,299.2169238,0.02580578,-0.192592288,71.03115188,17.69769169,30451158.81,-195808513.1,313.2082912,-0.016521215,-0.247290439,3104.952494,0.001141705
H4_remelt,199,1200,92.13,0.06,0.03,0.3,195584,1692.929944,77.70946854,1.40E+11,70.1918275,17.35829524,14734478.53,-94271903.08,301.3104136,0.022012574,-0.157638985,73.19282889,17.74376211,30789884.9,-198251289.9,314.8410937,-0.018546096,-0.238622425,3085.076512,0.001135027
H4_remelt,199,1200,92.13,0.06,0.03,0.33,196062,1690.923764,74.66242246,1.40E+11,74.50363662,17.32251071,14709651.45,-93951262.91,300.0693771,0.025462622,-0.196189754,68.36418427,17.75932894,30919313.94,-199152787.4,315.3937643,-0.027281103,-0.245439601,3077.702501,0.001101659
H4_remelt,199,1200,92.13,0.06,0.03,0.36,191925,1692.055247,73.65165219,1.38E+11,79.13986552,17.45737332,14624207.91,-93574062.27,304.7598831,0.005653058,-0.200222501,65.92408184,17.78286334,30347354.95,-195407170.9,316.2302286,-0.021237126,-0.259900245,3060.749011,0.0011775
H4_remelt,199,1200,92.13,0.06,0.03,0.39,188129,1688.389564,73.9778144,1.34E+11,71.63938942,17.31734775,14105955.49,-90040038.55,299.8905332,0.0426106,-0.194359573,77.90390597,17.71580828,29523230.18,-189906589.5,313.8498631,-0.007996796,-0.249095751,3079.220492,0.001201259
H4_remelt,199,1200,92.13,0.06,0.03,0.42,195584,1703.345771,80.80283462,1.42E+11,74.76058509,17.39577157,14798136.64,-94620032.45,302.6128684,0.026216007,-0.190132845,68.54034629,17.78712071,30940552.63,-199313548.3,316.3816632,-0.01216121,-0.247760201,3108.965262,0.00119638
H4_remelt,199,1200,92.13,0.06,0.03,0.45,198656,1698.789419,79.33391206,1.44E+11,69.40422874,17.39821931,15034719.69,-96200514.45,302.6980351,0.038145114,-0.174916916,67.13417839,17.84180512,31620156.58,-203886113.3,318.3300101,-0.019433088,-0.248871239,3079.027706,0.001248351
H4_remelt,199,1200,92.13,0.06,0.03,0.48,194981,1696.259078,76.3260009,1.41E+11,73.84155069,17.43922627,14826181.31,-94940855.81,304.1266129,0.029729962,-0.175097908,68.85039844,17.81515099,30942612.8,-199404560.6,317.3796047,-0.022583748,-0.253862334,3070.91607,0.001066732
H4_remelt,199,1200,92.13,0.06,0.03,0.51,195328,1697.733889,77.06978999,1.41E+11,67.78405164,17.45282735,14875809.55,-95248211.72,304.6011825,0.023884581,-0.186484447,76.61576572,17.82878871,31045224.58,-200067746.1,317.865707,-0.019433848,-0.257647662,3071.642111,0.001167232
H4_remelt,199,1200,92.13,0.06,0.03,0.54,198575,1690.227543,75.00497478,1.42E+11,68.53960355,17.37335025,14985721.52,-95765450.35,301.8332991,0.027230048,-0.199196125,69.98042952,17.83305481,31576340.43,-203645342.4,318.0178439,-0.021093989,-0.234006418,3052.270519,0.001248854
H4_remelt,199,1200,92.13,0.06,0.03,0.57,193185,1708.28419,83.03315426,1.41E+11,69.48136407,17.49178938,14778339.86,-94698015.41,305.9626958,0.004808068,-0.182356008,67.93595851,17.88364016,30893783.25,-199248636.2,319.8245854,-0.027328053,-0.258677729,3093.499152,0.001076649
H4_remelt,199,1200,92.13,0.06,0.03,0.6,187243,1705.228362,79.87055748,1.36E+11,65.4999785,17.41652548,14201292.91,-90858000.62,303.3353597,0.036718039,-0.186612495,72.56592915,17.83633418,29785513.24,-191952027,318.1348169,-0.023064363,-0.26406806,3101.620842,0.000982644
H4_remelt,199,1200,92.13,0.06,0.03,0.63,195308,1699.509802,78.2806186,1.41E+11,67.57789639,17.41518403,14810264.62,-94774870.08,303.2886347,0.024351142,-0.186420789,78.9069242,17.87837858,31214735.69,-201503665.3,319.6364207,-0.02877629,-0.233474977,3070.990532,0.001208311
H4_remelt,199,1200,92.13,0.06,0.03,0.66,190341,1700.432981,76.76208561,1.38E+11,70.58627485,17.51568316,14600577.35,-93526564.82,306.7991566,0.033361608,-0.198418619,71.11623957,17.91629352,30550351.52,-197127870.4,320.9935737,-0.027635774,-0.263131441,3053.881537,0.001071721
