Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H2_remelt,199,1440,76.77,0.06,0.03,0.18,171942,1664.052501,63.3206815,1.19215E+11,70.25434246,17.30688007,12877190.9,-82213892.66,299.5280979,0.01066423,-0.17952134,65.30696733,17.72490712,27011250.22,-173858022.8,314.1723324,-0.01908031,-0.237466111,2988.703393,0.001186405
H2_remelt,199,1440,76.77,0.06,0.03,0.21,173696,1665.6603,63.7479106,1.20667E+11,68.33759986,17.29180672,12985624.15,-82990998.05,299.0065795,0.015696255,-0.160027008,72.64307909,17.75054689,27365213.3,-176235152.4,315.0819149,-0.019206514,-0.236379146,2990.444915,0.001266537
H2_remelt,199,1440,76.77,0.06,0.03,0.24,184987,1659.72685,66.45827828,1.27614E+11,69.47541822,17.35895294,13937274.84,-89038737.83,301.3332473,0.040880658,-0.198553422,67.8784725,17.77489447,29224175.26,-188187013.4,315.9468736,-0.012014557,-0.256019759,2956.67434,0.000973005
H2_remelt,199,1440,76.77,0.06,0.03,0.27,172416,1672.747787,67.6425611,1.2082E+11,66.42621101,17.34841448,12974476.57,-83003920.89,300.9674849,0.030093972,-0.164723975,76.85692326,17.70482686,27023843.37,-173755732.2,313.4608941,-0.003285506,-0.258166045,3020.624348,0.001183144
H2_remelt,199,1440,76.77,0.06,0.03,0.3,172032,1674.951509,70.86198456,1.20887E+11,73.15688563,17.47076498,13128785.36,-84159474.75,305.227629,0.013188007,-0.169988609,78.68868231,17.76003406,27132034.59,-174713680.5,315.4188098,-0.011344308,-0.249279273,3002.605201,0.001162534
H2_remelt,199,1440,76.77,0.06,0.03,0.33,173804,1674.10534,71.35874423,1.22012E+11,71.15740556,17.45634955,13242151.03,-84870200.06,304.7241395,0.03197983,-0.156928351,80.42598808,17.75784169,27404744.45,-176444562.9,315.3409417,-0.024662746,-0.242539265,3001.762176,0.001208216
H2_remelt,199,1440,76.77,0.06,0.03,0.36,174058,1672.997779,68.76011241,1.22012E+11,71.51257382,17.48026944,13297757.35,-85202091.57,305.5598196,0.056019685,-0.177539021,63.94875954,17.78464482,27527675.88,-177317771.1,316.2935914,-0.020431588,-0.251455201,2988.627769,0.001126023
H2_remelt,199,1440,76.77,0.06,0.03,0.39,164619,1670.462168,66.14007457,1.15035E+11,80.9983234,17.40879255,12474236.4,-79821211.82,303.0660579,0.023557572,-0.183803365,72.23466024,17.72818664,25870096.48,-166513844.5,314.2886015,-0.019263779,-0.243074854,3000.044993,0.001202726
H2_remelt,199,1440,76.77,0.06,0.03,0.42,171232,1681.789243,73.68772083,1.21325E+11,71.59236256,17.40537674,12970098.87,-82957219.71,302.9471393,0.028557804,-0.182206317,65.66379542,17.82836326,27214045.11,-175309723.4,317.8505365,-0.019053936,-0.265094078,3019.23573,0.001086208
H2_remelt,199,1440,76.77,0.06,0.03,0.45,174080,1680.559614,73.8279292,1.23164E+11,71.59918519,17.45665696,13263598.61,-84982124.63,304.7348722,0.046800566,-0.166810329,65.39193659,17.76536193,27471485.74,-176848606.8,315.6080846,-0.024107824,-0.260544999,3023.537363,0.001148857
