Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H8_remelt,199,960,115.16,0.06,0.03,0.18,228478,1706.965729,77.01297843,1.67E+11,71.01286995,17.24922682,16996571.38,-108500922.1,297.5358258,0.033688216,-0.156384304,70.80575063,17.70231931,35800312.74,-230255661,313.3721088,-0.018532808,-0.246759566,3158.952122,0.001216715
H8_remelt,199,960,115.16,0.06,0.03,0.21,233391,1707.249257,79.17945135,1.70E+11,68.0970803,17.3213534,17507659.29,-111861616.4,300.0292836,0.03852516,-0.181823519,66.81454942,17.77814625,36884176.52,-237583038.6,316.062484,-0.017459968,-0.250165117,3133.693238,0.001096839
H8_remelt,199,960,115.16,0.06,0.03,0.24,241664,1703.986033,82.04454358,1.76E+11,73.66624841,17.44098772,18379346.92,-117640095.3,304.1880525,0.030214481,-0.187240793,72.61962372,17.67800607,37762384.07,-242821414,312.5118985,-0.024580917,-0.245122485,3132.130333,0.001199983
H8_remelt,199,960,115.16,0.06,0.03,0.27,229376,1727.938256,88.34723601,1.72E+11,70.22003863,17.46076698,17484493.12,-111962948.8,304.8783834,0.043612684,-0.19215699,71.01579415,17.73985892,36093563.19,-232292489.7,314.7025945,-0.026008165,-0.25117868,3204.27043,0.001220671
H8_remelt,199,960,115.16,0.06,0.03,0.3,228771,1730.212895,89.70694731,1.72E+11,73.45711916,17.34057751,17199189.8,-109985746.6,300.6956284,0.032442935,-0.156985766,69.62843179,17.76377735,36095691.95,-232383498.4,315.5517859,-0.019339395,-0.255543953,3221.516133,0.001031568
H8_remelt,199,960,115.16,0.06,0.03,0.33,230326,1726.245899,87.75375309,1.72E+11,77.82173402,17.39941314,17433602.48,-111568200.3,302.7395775,0.015271958,-0.163553669,73.29133631,17.77496852,36386662.69,-234361251.6,315.9495057,-0.017726488,-0.247198183,3196.665952,0.001137488
H8_remelt,199,960,115.16,0.06,0.03,0.36,229376,1727.311409,85.86705704,1.72E+11,69.78544675,17.40659749,17376289.77,-111200242.6,302.9896362,0.017834705,-0.17482514,74.51759245,17.75808355,36167778.24,-232803500,315.3495314,-0.021969207,-0.255050232,3203.521797,0.001124761
H8_remelt,199,960,115.16,0.06,0.03,0.39,223181,1719.563341,82.08610296,1.65E+11,73.95642236,17.4230214,16938815.72,-108430551,303.5616748,0.0258532,-0.168662498,66.92800795,17.78477931,35297018.83,-227321846,316.2983752,-0.012566502,-0.25810997,3165.851607,0.000922989
H8_remelt,199,960,115.16,0.06,0.03,0.42,228760,1745.698799,95.44711773,1.75E+11,70.74799341,17.53839885,17592943.93,-112943194.4,307.5954342,0.041938915,-0.160631883,71.46139312,17.73441271,35974541.06,-231502681,314.5093943,-0.029007599,-0.255847401,3263.561388,0.001049107
H8_remelt,199,960,115.16,0.06,0.03,0.45,230776,1742.09044,95.37867805,1.76E+11,70.68219322,17.44158719,17552724.67,-112378502.7,304.2089637,0.025066653,-0.189018513,75.7208379,17.8107739,36604989.46,-235887666.9,317.2236668,-0.020730361,-0.243052623,3243.016905,0.001117938
H8_remelt,199,960,115.16,0.06,0.03,0.48,229376,1735.280015,92.03845223,1.73E+11,75.38095474,17.41674882,17396426.67,-111359455.3,303.3431396,0.042516559,-0.165239736,71.68297552,17.84463971,36521418.53,-235397481.4,318.4311663,-0.019094881,-0.261797251,3211.829563,0.001081166
