Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H3_remelt,159.2,960,92.13,0.06,0.03,0.18,230725,1671.175597,62.01979349,1.61E+11,69.77757869,17.27933751,17223638.86,-109869010.5,298.5755047,0.035440519,-0.188207776,71.5641901,17.70518208,36164181.01,-232674653.2,313.4734724,-0.023884056,-0.245310777,3021.830745,0.001152853
H3_remelt,159.2,960,92.13,0.06,0.03,0.21,229376,1671.960061,61.25459918,1.61E+11,75.72358777,17.38524286,17333561.4,-110933364.2,302.2466695,0.019154228,-0.153751145,74.41577015,17.71496589,35992468.44,-231639814.6,313.8200164,-0.014097751,-0.239557707,3010.377271,0.001220671
H3_remelt,159.2,960,92.13,0.06,0.03,0.24,239969,1667.841693,65.31620533,1.67E+11,77.50589602,17.29609124,17948453.9,-114567107.3,299.1547723,0.036236198,-0.181222796,72.39202579,17.70717973,37621545.52,-242050871.8,313.5442139,-0.015765428,-0.247353283,3007.906623,0.001166783
H3_remelt,159.2,960,92.13,0.06,0.03,0.27,229624,1672.90627,63.85670321,1.61E+11,72.16097624,17.31738873,17217096.89,-110018271.8,299.8919524,0.030161204,-0.170544759,76.87321944,17.74343504,36147148.45,-232685494.6,314.829487,-0.025193174,-0.249513269,3015.228843,0.001106127
H3_remelt,159.2,960,92.13,0.06,0.03,0.3,228352,1684.856367,65.05366407,1.62E+11,71.8489332,17.37440442,17234685.36,-110278688.9,301.8699289,0.030978713,-0.164677927,71.3650809,17.71823699,35845018.82,-230574731.8,313.9359221,-0.012283153,-0.253368192,3057.926897,0.001261178
H3_remelt,159.2,960,92.13,0.06,0.03,0.33,230400,1683.131136,65.87529154,1.63E+11,68.52818935,17.28986799,17220540.5,-109970776.4,298.9395349,0.048411571,-0.178506744,72.64780754,17.7711571,36382805.53,-234323464.2,315.8140247,-0.015308591,-0.25072919,3049.08087,0.00105032
H3_remelt,159.2,960,92.13,0.06,0.03,0.36,227211,1682.436423,65.05780768,1.61E+11,70.83052054,17.32164006,17044684.01,-108759605,300.0392143,0.041770621,-0.219774951,71.76106308,17.70254752,35602810.16,-228978163.8,313.3801886,-0.016388097,-0.246428443,3058.848893,0.001373131
H3_remelt,159.2,960,92.13,0.06,0.03,0.39,222208,1676.796349,62.31404145,1.56E+11,68.89260006,17.32084918,16667769.87,-106437163.2,300.0118165,0.037873667,-0.172461665,68.32050066,17.74432289,34983276.06,-225323984.5,314.8609947,-0.023134186,-0.235961489,3028.4449,0.001323049
H3_remelt,159.2,960,92.13,0.06,0.03,0.42,229260,1685.42888,68.39973269,1.63E+11,70.64769621,17.33472042,17224330.63,-109934835.2,300.492532,0.033377626,-0.21179241,69.67160839,17.76929793,36195292.25,-233083194.5,315.747949,-0.019187049,-0.256326852,3053.099176,0.001011925
H3_remelt,159.2,960,92.13,0.06,0.03,0.45,231424,1692.179322,70.16687578,1.66E+11,72.53634747,17.3447203,17406950.57,-111251867.1,300.8393224,0.035311003,-0.190628458,70.14590448,17.76434882,36516428.5,-235159180,315.572089,-0.024321426,-0.242168452,3077.851621,0.001434559
H3_remelt,159.2,960,92.13,0.06,0.03,0.48,229888,1688.706967,67.52336201,1.64E+11,86.8744156,17.38762733,17377128.33,-111131354.4,302.3295841,0.032371727,-0.180694458,70.10591016,17.7534528,36229638.09,-233328999.5,315.1850862,-0.026295699,-0.23574158,3062.505487,0.00128755
H3_remelt,159.2,960,92.13,0.06,0.03,0.51,230400,1683.699731,66.52319102,1.64E+11,77.22441489,17.43030884,17501527.36,-112043842.9,303.8156663,0.039414783,-0.18319874,67.29560844,17.83246194,36634223.85,-236195146.2,317.9966988,-0.017095691,-0.246848195,3021.222603,0.001180525
H3_remelt,159.2,960,92.13,0.06,0.03,0.54,231424,1677.87866,65.15470132,1.63E+11,70.53013627,17.32027213,17357930.5,-110888380.3,299.9918266,0.023197181,-0.17627826,69.28492607,17.79325593,36635393.1,-236186360.6,316.5999565,-0.013299393,-0.23208221,3021.491318,0.001140734
H3_remelt,159.2,960,92.13,0.06,0.03,0.57,227328,1696.205743,72.41249063,1.64E+11,68.26924686,17.45842796,17323730.93,-110911741,304.7967067,0.033235684,-0.195671029,70.68203084,17.81619279,36079939.94,-232597238,317.4167254,-0.033890169,-0.24593717,3067.66464,0.001126096
H3_remelt,159.2,960,92.13,0.06,0.03,0.6,222485,1696.080111,70.02594312,1.60E+11,75.65372098,17.41193834,16864454.51,-107795453.9,303.1755969,0.028862864,-0.218690716,70.67615418,17.82323371,35339266.34,-227854972.6,317.6676597,-0.010022717,-0.237497011,3070.497643,0.001213527
H3_remelt,159.2,960,92.13,0.06,0.03,0.63,228744,1690.253554,68.26278163,1.64E+11,69.39485454,17.48691795,17489010.18,-111950795.9,305.7922994,0.037650384,-0.208239163,69.50332456,17.80635368,36264456.8,-233686288.6,317.0662314,-0.014620279,-0.240930164,3044.61722,0.001328962
H3_remelt,159.2,960,92.13,0.06,0.03,0.66,225280,1688.029921,66.90530125,1.61E+11,69.91185979,17.43548106,17122900.06,-109600113.5,303.9959999,0.025605451,-0.1931122,72.51667323,17.88875134,36046609.55,-232639752.1,320.0074244,-0.032723421,-0.248149567,3023.295125,0.001145211
H3_remelt,159.2,960,92.13,0.06,0.03,0.69,224867,1683.791197,67.44299259,1.60E+11,81.73889014,17.45868849,17136888.79,-109794021.3,304.8058037,0.036971647,-0.160978873,69.79559034,17.85663117,35851587.21,-231405172.8,318.8592767,-0.018618294,-0.241311554,3012.988888,0.001040583
H3_remelt,159.2,960,92.13,0.06,0.03,0.72,229288,1693.086281,70.23387558,1.65E+11,74.20593983,17.45512651,17466620.23,-111765836.6,304.6814416,0.040340499,-0.20984742,71.09442035,17.82734392,36436497.52,-234885289.8,317.8141911,-0.024909047,-0.246113835,3053.867643,0.001090303
H3_remelt,159.2,960,92.13,0.06,0.03,0.75,221184,1697.445479,68.90454754,1.60E+11,68.81488799,17.42824479,16797410.41,-107497853.7,303.7437166,0.032969074,-0.195058885,72.47769653,17.84762075,35228758.17,-227149104.6,318.5375665,-0.024494661,-0.253303197,3067.735057,0.001148334
H3_remelt,159.2,960,92.13,0.06,0.03,0.78,228800,1692.582492,69.77661662,1.64E+11,74.8913642,17.46183979,17442901.99,-111598102.2,304.9158488,0.030835022,-0.208020751,69.90818148,17.83288638,36381558.09,-234532043.8,318.0118366,-0.023146149,-0.252899513,3049.941094,0.001241226
H3_remelt,159.2,960,92.13,0.06,0.03,0.81,228771,1686.940917,65.9076022,1.63E+11,73.05360896,17.48606291,17489052.93,-111967364,305.762396,0.041877896,-0.198208617,69.69031978,17.89016697,36611149.93,-236332270.5,320.0580743,-0.024817354,-0.242298057,3013.311997,0.001215152
H3_remelt,159.2,960,92.13,0.06,0.03,0.84,229806,1683.020392,65.92212964,1.63E+11,68.6603976,17.343838,17283266.09,-110368864.7,300.8087165,0.034085574,-0.192977318,84.15175399,17.90806042,36850261.23,-237779380.8,320.6986282,-0.021025633,-0.263574244,3011.019748,0.001053035
H3_remelt,159.2,960,92.13,0.06,0.03,0.87,230390,1697.927832,74.09345468,1.66E+11,70.92679926,17.51258059,17665994.22,-113214408.3,306.690479,0.022846558,-0.192864464,70.62930398,17.91226811,36961450.07,-238491731.5,320.8493489,-0.027616066,-0.269041813,3045.729629,0.001059046
H3_remelt,159.2,960,92.13,0.06,0.03,0.9,230951,1696.011093,70.4630136,1.66E+11,68.80926594,17.43213961,17547001.92,-112167502.2,303.8794915,0.022921081,-0.231825982,70.1345609,17.91054763,37044388.43,-239285900,320.7877165,-0.027513141,-0.236133121,3047.765534,0.001099767
H3_remelt,159.2,960,92.13,0.06,0.03,0.93,229331,1691.007689,68.22120243,1.64E+11,67.38473487,17.44204566,17443708.83,-111710140.2,304.2249568,0.050242903,-0.178958089,71.9342339,18.00446801,37171215,-240353993.7,324.1608683,-0.02268677,-0.260449666,3006.966957,0.001090094
H3_remelt,159.2,960,92.13,0.06,0.03,0.96,224758,1686.417193,66.51333642,1.60E+11,72.82019107,17.47207822,17154545.36,-109913970.4,305.2735174,0.032511303,-0.186867126,70.75608125,17.93483946,36148621.76,-233570115.9,321.6584663,-0.030230961,-0.246446773,3002.90797,0.001094481
H3_remelt,159.2,960,92.13,0.06,0.03,0.99,229818,1683.615089,66.75623431,1.63E+11,71.97566498,17.5093712,17615670.87,-112947193.2,306.5780799,0.027611664,-0.179281956,70.25440463,18.00149206,37237756.35,-240964376.9,324.0537163,-0.030373808,-0.24107368,2973.87124,0.001140003
